OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,NUM_PAST,NUM_FUTURE,PCT_GROWTH,ENTRY_ED,WORK_EXP,CAT_SMALL,CAT_BIG
11-1011,Chief Executives,detailed,"248,760",85.77,"178,400",36.07,53.18,82.5,#,#,"75,030","110,610","171,610",#,#,330.5,347.9,5.3,Bachelor's degree,5 years or more,Top Executives,Management
11-1021,General and Operations Managers,detailed,"1,973,700",55.81,"116,090",22.21,31.82,46.36,70.84,#,"46,190","66,190","96,430","147,350",#,"1,972.70","2,216.80",12.4,Bachelor's degree,Less than 5 years,Top Executives,Management
11-1031,Legislators,detailed,"55,800",*,"39,320",*,*,*,*,*,"16,620","17,950","20,620","56,060","85,460",58.4,62.1,6.4,Bachelor's degree,Less than 5 years,Top Executives,Management
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"11,680",46.35,"96,410",14.09,20.22,31.01,56.18,#,"29,320","42,060","64,490","116,860",#,18.3,20.1,9.7,Bachelor's degree,Less than 5 years,Business Operations Specialists,Business & Finance
13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,"11,290",29.07,"60,470",15.02,19.84,26.66,35.34,47.01,"31,240","41,260","55,450","73,500","97,770",14.2,15,5.9,High school diploma or equivalent,None,Business Operations Specialists,Business & Finance
13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"112,290",27.99,"58,210",14.33,18.92,25.18,33.75,45.05,"29,800","39,350","52,370","70,190","93,700",124.6,133.5,7.1,High school diploma or equivalent,None,Business Operations Specialists,Business & Finance
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"284,480",30.49,"63,420",17.57,22,28.74,37.3,45.96,"36,540","45,760","59,780","77,590","95,590",294,302.4,2.9,High school diploma or equivalent,None,Business Operations Specialists,Business & Finance
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"275,500",29.97,"62,340",17.9,22.37,29.42,36.24,43.55,"37,220","46,530","61,190","75,380","90,570",297.6,309.1,3.9,High school diploma or equivalent,None,Business Operations Specialists,Business & Finance
13-1032,"Insurance Appraisers, Auto Damage",detailed,"13,180",30.34,"63,100",21.19,25.2,29.65,35.24,42.02,"44,080","52,410","61,660","73,300","87,390",13.5,12.8,-5.3,Postsecondary non-degree award,None,Business Operations Specialists,Business & Finance
13-1041,Compliance Officers,detailed,"236,090",32.1,"66,770",17.65,22.89,30.93,39.3,47.81,"36,720","47,610","64,340","81,740","99,450",239.8,250.8,4.6,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1051,Cost Estimators,detailed,"202,600",30.61,"63,660",16.48,21.5,28.59,37.62,47.18,"34,280","44,710","59,460","78,250","98,140",202.2,255.2,26.2,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1071,Human Resources Specialists,detailed,"426,570",29.6,"61,560",15.98,20.42,27.23,36.07,46.38,"33,240","42,470","56,630","75,030","96,470",418,451.1,7.9,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1075,Labor Relations Specialists,detailed,"76,160",27.2,"56,590",8.51,10.11,26.27,37.36,49.53,"17,710","21,020","54,630","77,710","103,020",77.6,76.9,-0.8,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1081,Logisticians,detailed,"120,340",36.7,"76,330",22.17,27.72,35.29,44.16,54.21,"46,120","57,660","73,400","91,840","112,750",125.9,153.6,21.9,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1111,Management Analysts,detailed,"567,840",43.26,"89,990",21.73,28.54,38.4,51.42,70.16,"45,200","59,360","79,870","106,950","145,920",718.7,852.5,18.6,Bachelor's degree,Less than 5 years,Business Operations Specialists,Business & Finance
13-1121,"Meeting, Convention, and Event Planners",detailed,"73,290",24.13,"50,190",12.73,16.82,22.24,29.19,38.24,"26,480","34,980","46,260","60,710","79,550",94.2,125.4,33.2,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1131,Fundraisers,detailed,"50,530",27.05,"56,270",14.79,18.92,24.8,33.7,43.08,"30,760","39,350","51,580","70,100","89,610",65.7,77.1,17.3,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"81,520",30.44,"63,310",18.46,22.44,28.76,36.13,45.23,"38,400","46,670","59,820","75,150","94,080",91.7,97,5.8,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1151,Training and Development Specialists,detailed,"224,110",29.22,"60,780",15.48,20.1,27.33,36.35,45.96,"32,190","41,820","56,850","75,610","95,600",228.8,264.2,15.5,Bachelor's degree,Less than 5 years,Business Operations Specialists,Business & Finance
13-1161,Market Research Analysts and Marketing Specialists,detailed,"430,350",32.59,"67,780",16.1,21.21,29.23,41.01,54.93,"33,490","44,110","60,800","85,310","114,250",415.7,547.2,31.6,Bachelor's degree,None,Business Operations Specialists,Business & Finance
13-1199,"Business Operations Specialists, All Other",detailed,"938,480",34.42,"71,590",17.39,23.56,31.78,42.32,54.44,"36,170","49,010","66,090","88,030","113,230",991.8,"1,065.20",7.4,High school diploma or equivalent,None,Business Operations Specialists,Business & Finance
13-2011,Accountants and Auditors,detailed,"1,168,330",34.86,"72,500",19.41,24.2,31.29,41.41,54.68,"40,370","50,340","65,080","86,130","113,740","1,275.40","1,442.20",13.1,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2021,Appraisers and Assessors of Real Estate,detailed,"60,210",27.42,"57,040",12.74,17.63,24.53,34.58,45.21,"26,510","36,680","51,030","71,920","94,030",83.7,88.4,5.6,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2031,Budget Analysts,detailed,"58,740",34.89,"72,560",22.01,26.93,33.71,42.13,50.17,"45,780","56,020","70,110","87,630","104,350",61.7,65.5,6.1,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2041,Credit Analysts,detailed,"66,490",34.9,"72,590",18.73,23.07,30.78,42.08,57.26,"38,960","47,990","64,030","87,520","119,100",61.8,68.2,10.4,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2051,Financial Analysts,detailed,"250,670",44.05,"91,620",23.13,28.85,37.68,51.19,73.28,"48,100","60,010","78,380","106,470","152,420",253,292.4,15.5,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2052,Personal Financial Advisors,detailed,"183,420",48.04,"99,920",15.96,23.75,36.21,59.94,#,"33,190","49,410","75,320","124,680",#,223.4,283.7,27,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2053,Insurance Underwriters,detailed,"92,540",33.71,"70,110",18.95,23.58,30.66,41.17,53.73,"39,410","49,040","63,780","85,640","111,750",106.3,99.8,-6.1,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2061,Financial Examiners,detailed,"30,680",41.82,"86,980",21.62,27.62,36.97,52.55,70.2,"44,970","57,440","76,890","109,300","146,020",29.2,31.1,6.3,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2071,Credit Counselors,detailed,"27,710",21.62,"44,960",13.35,16,19.37,24.3,32.3,"27,770","33,280","40,280","50,540","67,180",30.9,37.3,20.7,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2072,Loan Officers,detailed,"301,860",34.52,"71,800",15.97,21.17,29.53,41.71,59.02,"33,220","44,030","61,420","86,760","122,770",296.9,319.8,7.7,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"64,790",26.98,"56,120",14.76,18.64,24.33,33.44,44.59,"30,700","38,780","50,610","69,550","92,750",69.5,66.8,-3.9,Bachelor's degree,None,Financial Specialists,Business & Finance
13-2082,Tax Preparers,detailed,"67,810",20.84,"43,350",9.05,11.49,16.98,26.74,38.63,"18,820","23,900","35,310","55,630","80,360",87.6,96.2,9.9,High school diploma or equivalent,None,Financial Specialists,Business & Finance
13-2099,"Financial Specialists, All Other",detailed,"147,330",32.76,"68,130",17.13,22,30.05,40.02,51.37,"35,630","45,750","62,510","83,230","106,850",155.8,165.2,6.1,Bachelor's degree,None,Financial Specialists,Business & Finance
15-1111,Computer and Information Research Scientists,detailed,"24,380",52.53,"109,260",29.47,40,51.1,62.38,76.34,"61,300","83,210","106,290","129,750","158,800",26.7,30.8,15.3,Doctoral or professional degree,None,Computer Occupations,Computer& Mathematics
15-1121,Computer Systems Analysts,detailed,"507,100",41.02,"85,320",24.18,30.7,39.03,49.27,60.32,"50,290","63,860","81,190","102,480","125,460",520.6,648.4,24.5,Bachelor's degree,None,Computer Occupations,Computer& Mathematics
15-1122,Information Security Analysts,detailed,"78,020",43.85,"91,210",24.24,32.27,42.59,54.38,66.72,"50,430","67,120","88,590","113,100","138,780",75.1,102.5,36.5,Bachelor's degree,Less than 5 years,Computer Occupations,Computer& Mathematics
15-1131,Computer Programmers,detailed,"312,340",38.91,"80,930",20.98,27.86,36.6,47,59.37,"43,640","57,940","76,140","97,760","123,490",343.7,372.1,8.3,Bachelor's degree,None,Computer Occupations,Computer& Mathematics
15-1132,"Software Developers, Applications",detailed,"643,830",46.28,"96,260",26.81,34.75,44.55,56.07,69.01,"55,770","72,290","92,660","116,630","143,540",613,752.9,22.8,Bachelor's degree,None,Computer Occupations,Computer& Mathematics
15-1133,"Software Developers, Systems Software",detailed,"373,510",50.23,"104,480",30.35,38.42,48.75,61,72.48,"63,140","79,900","101,410","126,880","150,760",405,487.8,20.4,Bachelor's degree,None,Computer Occupations,Computer& Mathematics
